x,y,z
384400,86400,2.592e+06
319966,172800,5.184e+06
192551,254971,7.77524e+06
4341.14,329244,1.03649e+07
-241810,392702,1.29523e+07
-542584,443367,1.55367e+07
-894513,480279,1.81172e+07
-1.29431e+06,503430,2.06931e+07
-1.73913e+06,513561,2.32636e+07
-2.22669e+06,511906,2.5828e+07
-2.75527e+06,499948,2.83855e+07
-3.3237e+06,479227,3.09353e+07
-3.9312e+06,451213,3.34766e+07
-4.57732e+06,417238,3.60087e+07
-5.26181e+06,378469,3.85308e+07
-5.98458e+06,335900,4.10421e+07
-6.74563e+06,290367,4.3542e+07
-7.54499e+06,242565,4.60295e+07
-8.38272e+06,193068,4.8504e+07
-9.25886e+06,142346,5.09648e+07
-1.01735e+07,90783.6,5.34111e+07
-1.11265e+07,38695,5.58421e+07
-1.21181e+07,-13663.9,5.82571e+07
-1.3148e+07,-66084.4,6.06555e+07
-1.42163e+07,-118397,6.30364e+07
-1.53228e+07,-170464,6.53992e+07
-1.64673e+07,-222173,6.77432e+07
-1.76498e+07,-273433,7.00676e+07
-1.887e+07,-324169,7.23718e+07
-2.01277e+07,-374322,7.46551e+07
-2.14226e+07,-423843,7.69168e+07
-2.27546e+07,-472692,7.91563e+07
-2.41231e+07,-520838,8.13729e+07
-2.55281e+07,-568254,8.3566e+07
-2.6969e+07,-614919,8.57348e+07
-2.84456e+07,-660817,8.78788e+07
-2.99574e+07,-705934,8.99974e+07
-3.15041e+07,-750259,9.20899e+07
-3.30853e+07,-793784,9.41557e+07
-3.47005e+07,-836502,9.61942e+07
-3.63493e+07,-878407,9.8205e+07
-3.80312e+07,-919495,1.00187e+08
-3.97457e+07,-959762,1.02141e+08
-4.14924e+07,-999206,1.04064e+08
-4.32708e+07,-1.03783e+06,1.05958e+08
-4.50803e+07,-1.07562e+06,1.07821e+08
-4.69204e+07,-1.11258e+06,1.09653e+08
-4.87906e+07,-1.14871e+06,1.11453e+08
-5.06903e+07,-1.18402e+06,1.13221e+08
-5.2619e+07,-1.21849e+06,1.14957e+08
-5.45762e+07,-1.25214e+06,1.16659e+08
-5.65612e+07,-1.28495e+06,1.18328e+08
-5.85734e+07,-1.31693e+06,1.19962e+08
-6.06123e+07,-1.34807e+06,1.21563e+08
-6.26772e+07,-1.37839e+06,1.23128e+08
-6.47676e+07,-1.40787e+06,1.24658e+08
-6.68828e+07,-1.43652e+06,1.26152e+08
-6.90222e+07,-1.46434e+06,1.2761e+08
-7.11852e+07,-1.49133e+06,1.29032e+08
-7.33712e+07,-1.51748e+06,1.30416e+08
-7.55794e+07,-1.5428e+06,1.31764e+08
-7.78092e+07,-1.56729e+06,1.33074e+08
-8.006e+07,-1.59095e+06,1.34346e+08
-8.23312e+07,-1.61377e+06,1.35579e+08
-8.4622e+07,-1.63576e+06,1.36774e+08
-8.69317e+07,-1.65693e+06,1.37931e+08
-8.92598e+07,-1.67726e+06,1.39048e+08
-9.16055e+07,-1.69676e+06,1.40125e+08
-9.39681e+07,-1.71543e+06,1.41163e+08
-9.6347e+07,-1.73327e+06,1.42161e+08
-9.87415e+07,-1.75029e+06,1.43119e+08
-1.01151e+08,-1.76647e+06,1.44037e+08
-1.03574e+08,-1.78183e+06,1.44914e+08
-1.06011e+08,-1.79637e+06,1.4575e+08
-1.08461e+08,-1.81008e+06,1.46545e+08
-1.10923e+08,-1.82296e+06,1.473e+08
-1.13396e+08,-1.83503e+06,1.48012e+08
-1.15879e+08,-1.84627e+06,1.48684e+08
-1.18373e+08,-1.8567e+06,1.49314e+08
-1.20876e+08,-1.86631e+06,1.49902e+08
-1.23387e+08,-1.87511e+06,1.50449e+08
-1.25907e+08,-1.8831e+06,1.50953e+08
-1.28433e+08,-1.89028e+06,1.51416e+08
-1.30966e+08,-1.89665e+06,1.51837e+08
-1.33504e+08,-1.90221e+06,1.52215e+08
-1.36047e+08,-1.90698e+06,1.52552e+08
-1.38595e+08,-1.91095e+06,1.52846e+08
-1.41146e+08,-1.91412e+06,1.53099e+08
-1.437e+08,-1.9165e+06,1.53309e+08
-1.46256e+08,-1.9181e+06,1.53477e+08
-1.48814e+08,-1.91892e+06,1.53602e+08
-1.51372e+08,-1.91895e+06,1.53686e+08
-1.5393e+08,-1.91821e+06,1.53728e+08
-1.56488e+08,-1.9167e+06,1.53727e+08
-1.59044e+08,-1.91443e+06,1.53685e+08
-1.61598e+08,-1.91139e+06,1.53601e+08
-1.6415e+08,-1.9076e+06,1.53475e+08
-1.66698e+08,-1.90307e+06,1.53307e+08
-1.69241e+08,-1.89778e+06,1.53098e+08
-1.7178e+08,-1.89177e+06,1.52848e+08
-1.74314e+08,-1.88501e+06,1.52556e+08
-1.76841e+08,-1.87754e+06,1.52223e+08
-1.79362e+08,-1.86935e+06,1.51849e+08
-1.81875e+08,-1.86044e+06,1.51434e+08
-1.8438e+08,-1.85083e+06,1.50979e+08
-1.86876e+08,-1.84053e+06,1.50483e+08
-1.89362e+08,-1.82953e+06,1.49947e+08
-1.91839e+08,-1.81785e+06,1.49371e+08
-1.94305e+08,-1.8055e+06,1.48755e+08
-1.96759e+08,-1.79248e+06,1.48099e+08
-1.99202e+08,-1.77881e+06,1.47404e+08
-2.01631e+08,-1.76448e+06,1.4667e+08
-2.04048e+08,-1.74952e+06,1.45897e+08
-2.06451e+08,-1.73393e+06,1.45086e+08
-2.08839e+08,-1.71771e+06,1.44236e+08
-2.11212e+08,-1.70088e+06,1.43349e+08
-2.13569e+08,-1.68345e+06,1.42423e+08
-2.1591e+08,-1.66542e+06,1.41461e+08
-2.18235e+08,-1.64681e+06,1.40461e+08
-2.20542e+08,-1.62763e+06,1.39424e+08
-2.22831e+08,-1.60788e+06,1.38351e+08
-2.25101e+08,-1.58758e+06,1.37242e+08
-2.27352e+08,-1.56674e+06,1.36098e+08
-2.29584e+08,-1.54536e+06,1.34917e+08
-2.31796e+08,-1.52347e+06,1.33702e+08
-2.33986e+08,-1.50106e+06,1.32452e+08
-2.36156e+08,-1.47815e+06,1.31168e+08
-2.38304e+08,-1.45475e+06,1.29851e+08
-2.40429e+08,-1.43087e+06,1.28499e+08
-2.42532e+08,-1.40653e+06,1.27115e+08
-2.44611e+08,-1.38173e+06,1.25698e+08
-2.46667e+08,-1.35648e+06,1.24248e+08
-2.48699e+08,-1.33079e+06,1.22767e+08
-2.50705e+08,-1.30469e+06,1.21255e+08
-2.52687e+08,-1.27817e+06,1.19711e+08
-2.54643e+08,-1.25124e+06,1.18137e+08
-2.56573e+08,-1.22393e+06,1.16533e+08
