x,y,z
-1.49598e+08,0,0
-1.49598e+08,0,0
-1.49598e+08,9.36876e-07,0.00233069
-1.49598e+08,3.7474e-06,0.00932061
-1.49598e+08,9.36926e-06,0.0232955
-1.49598e+08,1.87417e-05,0.0465772
-1.49598e+08,3.28058e-05,0.0814836
-1.49598e+08,5.25033e-05,0.130327
-1.49598e+08,7.87767e-05,0.195414
-1.49598e+08,0.000112567,0.279045
-1.49598e+08,0.000154813,0.383513
-1.49598e+08,0.000206449,0.511101
-1.49598e+08,0.000268406,0.664086
-1.49598e+08,0.000341607,0.844733
-1.49598e+08,0.000426973,1.0553
-1.49598e+08,0.000525412,1.29803
-1.49598e+08,0.000637832,1.57515
-1.49598e+08,0.000765128,1.88888
-1.49598e+08,0.000908192,2.24144
-1.49598e+08,0.00106791,2.63502
-1.49598e+08,0.00124514,3.07178
-1.49598e+08,0.00144078,3.5539
-1.49598e+08,0.00165566,4.08352
-1.49598e+08,0.00189065,4.66276
-1.49598e+08,0.00214658,5.29375
-1.49598e+08,0.00242431,5.97857
-1.49598e+08,0.00272464,6.71929
-1.49598e+08,0.0030484,7.51797
-1.49598e+08,0.00339641,8.37665
-1.49598e+08,0.00376947,9.29734
-1.49598e+08,0.00416836,10.282
-1.49598e+08,0.00459387,11.3327
-1.49598e+08,0.00504679,12.4512
-1.49598e+08,0.00552786,13.6396
-1.49598e+08,0.00603786,14.8997
-1.49598e+08,0.00657752,16.2334
-1.49598e+08,0.00714758,17.6426
-1.49598e+08,0.00774876,19.129
-1.49598e+08,0.00838179,20.6945
-1.49598e+08,0.00904736,22.3408
-1.49598e+08,0.00974618,24.0697
-1.49598e+08,0.0104789,25.8829
-1.49598e+08,0.0112462,27.782
-1.49598e+08,0.0120488,29.7687
-1.49598e+08,0.0128873,31.8446
-1.49598e+08,0.0137623,34.0114
-1.49598e+08,0.0146744,36.2705
-1.49598e+08,0.0156244,38.6235
-1.49598e+08,0.0166126,41.072
-1.49598e+08,0.0176399,43.6173
-1.49598e+08,0.0187066,46.2608
-1.49598e+08,0.0198135,49.0041
-1.49598e+08,0.0209609,51.8484
-1.49598e+08,0.0221495,54.7952
-1.49598e+08,0.0233798,57.8455
-1.49598e+08,0.0246523,61.0009
-1.49598e+08,0.0259675,64.2624
-1.49598e+08,0.0273258,67.6312
-1.49598e+08,0.0287277,71.1085
-1.49598e+08,0.0301736,74.6955
-1.49598e+08,0.0316641,78.3932
-1.49598e+08,0.0331995,82.2026
-1.49598e+08,0.0347801,86.1248
-1.49598e+08,0.0364065,90.1607
-1.49598e+08,0.038079,94.3113
-1.49598e+08,0.0397979,98.5774
-1.49598e+08,0.0415636,102.96
-1.49598e+08,0.0433765,107.46
-1.49598e+08,0.0452367,112.078
-1.49598e+08,0.0471447,116.814
-1.49598e+08,0.0491007,121.67
-1.49598e+08,0.051105,126.647
-1.49598e+08,0.0531578,131.744
-1.49598e+08,0.0552594,136.962
-1.49598e+08,0.05741,142.302
-1.49598e+08,0.0596099,147.765
-1.49598e+08,0.0618591,153.351
-1.49598e+08,0.0641579,159.06
-1.49598e+08,0.0665064,164.892
-1.49598e+08,0.0689048,170.849
-1.49598e+08,0.0713532,176.931
-1.49598e+08,0.0738518,183.137
-1.49598e+08,0.0764006,189.468
-1.49598e+08,0.0789997,195.924
-1.49598e+08,0.0816492,202.506
-1.49598e+08,0.0843491,209.213
-1.49598e+08,0.0870996,216.046
-1.49598e+08,0.0899005,223.004
-1.49598e+08,0.0927519,230.088
-1.49598e+08,0.0956539,237.298
-1.49598e+08,0.0986063,244.634
-1.49598e+08,0.101609,252.095
